"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"André Clady",5,NA,NA,NA,247,1920-01-01,1929-04-28,1931-04-19,"le 28 avril 1929 contre l'Allemagne","le 19 avril 1931 contre l'Allemagne",8,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Clady&action=edit&redlink=1",NA,"28 avril 1929","19 avril 1931",NA,NA
"Amédée Cutzach",1,NA,NA,NA,248,1920-01-01,1929-04-28,1929-04-28,"le 28 avril 1929 contre l'Allemagne","le 28 avril 1929 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Am%C3%A9d%C3%A9e_Cutzach&action=edit&redlink=1",NA,"28 avril 1929","28 avril 1929",NA,NA
"André Duche",1,NA,NA,NA,249,1920-01-01,1929-04-28,1929-04-28,"le 28 avril 1929 contre l'Allemagne","le 28 avril 1929 contre l'Allemagne",9,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Duche&action=edit&redlink=1",NA,"28 avril 1929","28 avril 1929",NA,NA
"Marcel Soler",1,NA,NA,NA,250,1920-01-01,1929-04-28,1929-04-28,"le 28 avril 1929 contre l'Allemagne","le 28 avril 1929 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Marcel_Soler&action=edit&redlink=1",NA,"28 avril 1929","28 avril 1929",NA,NA
"Albert Ambert",5,"1902-03-15","Béziers, Hérault (France)","Béziers, Hérault",251,1930-01-01,1930-01-01,1930-04-21,"le 1er janvier 1930 contre l'Écosse","le 21 avril 1930 contre le pays de Galles",11,"https://fr.wikipedia.org//wiki/Albert_Ambert","Naissance	15 mars 1902
à Béziers, Hérault (France)	","1er janvier 1930","21 avril 1930",43.3426562,3.2131307
"Charles Bigot",4,"1906-02-04","Lézignan (France)","Lézignan",252,1930-01-01,1930-01-01,1931-01-24,"le 1er janvier 1930 contre l'Écosse","le 24 janvier 1931 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Charles_Bigot_(rugby_%C3%A0_XV)","Naissance	4 février 1906
à Lézignan (France)	","1er janvier 1930","24 janvier 1931",43.0988008,-0.003562
"Joseph Choy",10,"1905-08-19","Homps","Homps",253,1930-01-01,1930-01-01,1936-11-01,"le 1er janvier 1930 contre l'Écosse","le 1er novembre 1936 contre l'Allemagne",3,"https://fr.wikipedia.org//wiki/Joseph_Choy","Naissance	
19 août 1905
Homps","1er janvier 1930","1er novembre 1936",43.2678592,2.7206174
"Robert Samatan",10,"1909-04-16","Toulouse (France)","Toulouse",254,1930-01-01,1930-01-01,1931-04-19,"le 1er janvier 1930 contre l'Écosse","le 19 avril 1931 contre l'Allemagne",9,"https://fr.wikipedia.org//wiki/Robert_Samatan","Naissance	16 avril 1909
à Toulouse (France)	","1er janvier 1930","19 avril 1931",43.6044622,1.4442469
"Fernand Taillantou",3,"1905-02-17","Pau (France)","Pau",255,1930-01-01,1930-01-25,1930-04-21,"le 25 janvier 1930 contre l'Irlande","le 21 avril 1930 contre le pays de Galles",9,"https://fr.wikipedia.org//wiki/Fernand_Taillantou","Naissance	17 février 1905
à Pau (France)	","25 janvier 1930","21 avril 1930",43.2957547,-0.3685668
"Léopold Fabre",1,"1907-02-06","Toulouse (France)","Toulouse",256,1930-01-01,1930-04-06,1930-04-06,"le 6 avril 1930 contre l'Allemagne","le 6 avril 1930 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/L%C3%A9opold_Fabre","Naissance	6 février 1907
à Toulouse (France)	","6 avril 1930","6 avril 1930",43.6044622,1.4442469
"Lucien Augras",3,"1912-08-13","La Châtre","La Châtre",257,1930-01-01,1931-01-01,1931-02-28,"le 1er janvier 1931 contre l'Irlande","le 28 février 1931 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Lucien_Augras","Naissance	
13 août 1912
La Châtre","1er janvier 1931","28 février 1931",46.5815678,1.9892292
"Ernest Camo",6,"1902-05-29","Saint-Féliu-d'Avall","Saint-Féliu-d'Avall",258,1930-01-01,1931-01-01,1932-04-17,"le 1er janvier 1931 contre l'Irlande","le 17 avril 1932 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Ernest_Camo","Naissance	
29 mai 1902
Saint-Féliu-d'Avall","1er janvier 1931","17 avril 1932",42.6802608,2.743105
"Maurice Porra",1,"1906-05-13","Perpignan (France)","Perpignan",259,1930-01-01,1931-01-01,1931-01-01,"le 1er janvier 1931 contre l'Irlande","le 1er janvier 1931 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Maurice_Porra","Naissance	13 mai 1906
à Perpignan (France)	","1er janvier 1931","1er janvier 1931",42.6985304,2.8953121
"Marius Rodrigo",23,NA,NA,NA,260,1930-01-01,1931-01-01,1931-02-28,"le 1er janvier 1931 contre l'Irlande","le 28 février 1931 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Marius_Rodrigo&action=edit&redlink=1",NA,"1er janvier 1931","28 février 1931",NA,NA
"Maurice Savy",5,"1906-09-21","Gouttières (France)","Gouttières",261,1930-01-01,1931-01-01,1936-05-17,"le 1er janvier 1931 contre l'Irlande","le 17 mai 1936 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Maurice_Savy","Naissance	21 septembre 1906
à Gouttières (France)	","1er janvier 1931","17 mai 1936",49.0194645,0.732387381099419
"Léopold Servole",7,"1906-09-22","Saint-André-de-Roquelongue (France)","Saint-André-de-Roquelongue",262,1930-01-01,1931-01-01,1935-03-24,"le 1er janvier 1931 contre l'Irlande","le 24 mars 1935 contre l'Allemagne",4,"https://fr.wikipedia.org//wiki/L%C3%A9opold_Servole","Naissance	22 septembre 1906
à Saint-André-de-Roquelongue (France)	","1er janvier 1931","24 mars 1935",43.114799,2.8364855
"Antoine Duclos",1,NA,NA,NA,263,1930-01-01,1931-01-24,1931-01-24,"le 24 janvier 1931 contre l'Écosse","le 24 janvier 1931 contre l'Écosse",0,"https://fr.wikipedia.org//w/index.php?title=Antoine_Duclos&action=edit&redlink=1",NA,"24 janvier 1931","24 janvier 1931",NA,NA
"Max Rousié",4,"1912-07-14","Marmande (France)","Marmande",264,1930-01-01,1931-01-24,1933-03-26,"le 24 janvier 1931 contre l'Écosse","le 26 mars 1933 contre l'Allemagne",9,"https://fr.wikipedia.org//wiki/Max_Rousi%C3%A9","Naissance	14 juillet 1912
à Marmande (France)	","24 janvier 1931","26 mars 1933",44.5007939,0.164274
"Robert Scohy",4,"1909-04-28","Tunis (Tunisie)","Tunis",265,1930-01-01,1931-01-24,1931-04-19,"le 24 janvier 1931 contre l'Écosse","le 19 avril 1931 contre l'Allemagne",3,"https://fr.wikipedia.org//wiki/Robert_Scohy","Naissance	28 avril 1909
à Tunis (Tunisie)	","24 janvier 1931","19 avril 1931",33.8439408,9.400138
"Georges Clément",1,NA,NA,NA,266,1930-01-01,1931-02-28,1931-02-28,"le 28 février 1931 contre le pays de Galles","le 28 février 1931 contre le pays de Galles",0,"https://fr.wikipedia.org//w/index.php?title=Georges_Cl%C3%A9ment_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"28 février 1931","28 février 1931",NA,NA
"Charles Petit",1,"1903-01-05","Saint-Ouen-sur-Seine (France)","Saint-Ouen-sur-Seine",267,1930-01-01,1931-02-28,1931-02-28,"le 28 février 1931 contre le pays de Galles","le 28 février 1931 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Charles_Petit","Naissance	5 janvier 1903
à Saint-Ouen-sur-Seine (France)	","28 février 1931","28 février 1931",48.911729,2.334267
"Max Vigerie",1,"1906-11-28","Villeréal","Villeréal",268,1930-01-01,1931-02-28,1931-02-28,"le 28 février 1931 contre le pays de Galles","le 28 février 1931 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Max_Vigerie","Naissance	
28 novembre 1906
Villeréal","28 février 1931","28 février 1931",44.6372843,0.742977
"Henri Buisson",2,"1904-08-04","Béziers (France)","Béziers",269,1930-01-01,1931-04-06,1931-04-19,"le 6 avril 1931 contre l'Angleterre","le 19 avril 1931 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Henri_Buisson_(rugby_%C3%A0_XV)","Naissance	4 août 1904
à Béziers (France)	","6 avril 1931","19 avril 1931",43.3426562,3.2131307
"Pierre Guelorget",2,NA,NA,NA,270,1930-01-01,1931-04-06,1931-04-19,"le 6 avril 1931 contre l'Angleterre","le 19 avril 1931 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Pierre_Guelorget&action=edit&redlink=1",NA,"6 avril 1931","19 avril 1931",NA,NA
"René Namur",2,"1909-12-12","Montauban","Montauban",271,1930-01-01,1931-04-06,1931-04-19,"le 6 avril 1931 contre l'Angleterre","le 19 avril 1931 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Namur","Naissance	
12 décembre 1909
Montauban","6 avril 1931","19 avril 1931",44.0175835,1.3549991
"Roger Triviaux",2,"1902-08-10","Cognac","Cognac",272,1930-01-01,1931-04-06,1931-04-19,"le 6 avril 1931 contre l'Angleterre","le 19 avril 1931 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Roger_Triviaux","Naissance	
10 août 1902
Cognac","6 avril 1931","19 avril 1931",45.6931647,-0.3250175
"Marius Guiral",3,"1904-12-16","Condom (France)","Condom",273,1930-01-01,1931-04-19,1933-03-26,"le 19 avril 1931 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Marius_Guiral","Naissance	16 décembre 1904
à Condom (France)	","19 avril 1931","26 mars 1933",43.9564563,0.3745929
"Antonin Barbazanges",2,"1907-04-15","Toulouse (France)","Toulouse",274,1930-01-01,1932-04-17,1933-03-26,"le 17 avril 1932 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Antonin_Barbazanges","Naissance	15 avril 1907
à Toulouse (France)	","17 avril 1932","26 mars 1933",43.6044622,1.4442469
"Eugène Chaud",3,"1906-03-03","Roanne (France)","Roanne",275,1930-01-01,1932-04-17,1935-03-24,"le 17 avril 1932 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",16,"https://fr.wikipedia.org//wiki/Eug%C3%A8ne_Chaud","Naissance	3 mars 1906
à Roanne (France)	","17 avril 1932","24 mars 1935",46.0345572,4.0729178
"Roger Claudel",2,"1911-04-10","Chartres (France)","Chartres",276,1930-01-01,1932-04-17,1934-03-25,"le 17 avril 1932 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Roger_Claudel","Naissance	10 avril 1911
à Chartres (France)	","17 avril 1932","25 mars 1934",48.4438601,1.4881434
"Jean Coderc",5,NA,NA,NA,277,1930-01-01,1932-04-17,1936-05-17,"le 17 avril 1932 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Jean_Coderc&action=edit&redlink=1",NA,"17 avril 1932","17 mai 1936",NA,NA
"Lucien Cognet",5,NA,NA,NA,278,1930-01-01,1932-04-17,1937-10-17,"le 17 avril 1932 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",0,"https://fr.wikipedia.org//w/index.php?title=Lucien_Cognet&action=edit&redlink=1",NA,"17 avril 1932","17 octobre 1937",NA,NA
"Henri de Malherbe",2,"1910-02-09","Ajaccio (France)","Ajaccio",279,1930-01-01,1932-04-17,1933-03-26,"le 17 avril 1932 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",6,"https://fr.wikipedia.org//wiki/Henri_de_Malherbe","Naissance	9 février 1910
à Ajaccio (France)	","17 avril 1932","26 mars 1933",41.9263991,8.7376029
"René Finat",2,NA,NA,NA,280,1930-01-01,1932-04-17,1933-03-26,"le 17 avril 1932 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",15,"https://fr.wikipedia.org//w/index.php?title=Ren%C3%A9_Finat&action=edit&redlink=1",NA,"17 avril 1932","26 mars 1933",NA,NA
"Joseph Griffard",3,"1905-11-13","Limoges (France)","Limoges",281,1930-01-01,1932-04-17,1934-03-25,"le 17 avril 1932 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Joseph_Griffard","Naissance	13 novembre 1905
à Limoges (France)	","17 avril 1932","25 mars 1934",45.8354243,1.2644847
"Marcel Laurent",5,"1909-04-17","Auch (France)","Auch",282,1930-01-01,1932-04-17,1936-05-17,"le 17 avril 1932 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Marcel_Laurent_(rugby_%C3%A0_XV)","Naissance	17 avril 1909
à Auch (France)	","17 avril 1932","17 mai 1936",43.6463558,0.5850507
"Albert Potel",1,NA,NA,NA,283,1930-01-01,1932-04-17,1932-04-17,"le 17 avril 1932 contre l'Allemagne","le 17 avril 1932 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Albert_Potel&action=edit&redlink=1",NA,"17 avril 1932","17 avril 1932",NA,NA
"Édouard Ainciart",6,"1908-12-21","Bayonne (France)","Bayonne",284,1930-01-01,1933-03-26,1938-03-27,"le 26 mars 1933 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/%C3%89douard_Ainciart","Naissance	21 décembre 1908
à Bayonne (France)	","26 mars 1933","27 mars 1938",43.4945144,-1.4736657
"Jean Daguerre",1,"1907-09-12","Saint-Pierre (France)","Saint-Pierre",285,1930-01-01,1933-03-26,1933-03-26,"le 26 mars 1933 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Jean_Daguerre","Naissance	12 septembre 1907
à Saint-Pierre (France)	","26 mars 1933","26 mars 1933",48.3832725,7.4718731
"Pierre Escaffre",2,NA,NA,NA,286,1930-01-01,1933-03-26,1934-03-25,"le 26 mars 1933 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",3,"https://fr.wikipedia.org//w/index.php?title=Pierre_Escaffre&action=edit&redlink=1",NA,"26 mars 1933","25 mars 1934",NA,NA
"Firmin Raynaud",1,NA,NA,NA,287,1930-01-01,1933-03-26,1933-03-26,"le 26 mars 1933 contre l'Allemagne","le 26 mars 1933 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Firmin_Raynaud&action=edit&redlink=1",NA,"26 mars 1933","26 mars 1933",NA,NA
"Antoine Blain",1,"1911-12-24","Limoux (France)","Limoux",288,1930-01-01,1934-03-25,1934-03-25,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Antoine_Blain","Naissance	24 décembre 1911
à Limoux (France)	","25 mars 1934","25 mars 1934",43.0538068,2.2176533
"Pierre Cussac",1,"1909-08-21","Arcachon (France)","Arcachon",289,1930-01-01,1934-03-25,1934-03-25,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Pierre_Cussac","Naissance	21 août 1909
à Arcachon (France)	","25 mars 1934","25 mars 1934",44.6616428,-1.1700018
"Joseph Desclaux",10,"1912-02-01",NA,NA,290,1930-01-01,1934-03-25,1945-01-01,"le 25 mars 1934 contre l'Allemagne","le 1er janvier 1945 contre l'équipe de l'Armée de terre britannique",23,"https://fr.wikipedia.org//wiki/Joseph_Desclaux","Naissance	1er février 1912	","25 mars 1934","1er janvier 1945",NA,NA
"André Duluc",1,NA,NA,NA,291,1930-01-01,1934-03-25,1934-03-25,"le 25 mars 1934 contre l'Allemagne","le 25 mars 1934 contre l'Allemagne",3,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Duluc&action=edit&redlink=1",NA,"25 mars 1934","25 mars 1934",NA,NA
"Louis Dupont",6,NA,NA,NA,292,1930-01-01,1934-03-25,1938-05-22,"le 25 mars 1934 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Louis_Dupont_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"25 mars 1934","22 mai 1938",NA,NA
"François Lombard",2,"1906-02-10","Narbonne (France)","Narbonne",293,1930-01-01,1934-03-25,1937-10-17,"le 25 mars 1934 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",0,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Lombard_(rugby_%C3%A0_XV)","Naissance	10 février 1906
à Narbonne (France)	","25 mars 1934","17 octobre 1937",43.1837757,3.0041906
"Jean Blond",6,"1909-04-11","Le Tréport","Le Tréport",294,1930-01-01,1935-03-24,1938-05-22,"le 24 mars 1935 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",6,"https://fr.wikipedia.org//wiki/Jean_Blond","Naissance	
11 avril 1909
Le Tréport","24 mars 1935","22 mai 1938",50.0591099,1.3827656
"Paul Boyer",1,"1908-05-19","Arthès (France)","Arthès",295,1930-01-01,1935-03-24,1935-03-24,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Paul_Boyer_(rugby_%C3%A0_XV)","Naissance	19 mai 1908
à Arthès (France)	","24 mars 1935","24 mars 1935",43.9540167,2.2079468
"Maurice Celhay",6,"1911-05-17","Saint-Palais (France)","Saint-Palais",296,1930-01-01,1935-03-24,1940-02-24,"le 24 mars 1935 contre l'Allemagne","le 24 février 1940 contre l'équipe de l'Armée de terre britannique",24,"https://fr.wikipedia.org//wiki/Maurice_Celhay","Naissance	17 mai 1911
à Saint-Palais (France)	","24 mars 1935","24 février 1940",43.3273438,-1.0345115
"Jacques Dorot",1,NA,NA,NA,297,1930-01-01,1935-03-24,1935-03-24,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Jacques_Dorot&action=edit&redlink=1",NA,"24 mars 1935","24 mars 1935",NA,NA
"François Raynal",5,NA,NA,NA,298,1930-01-01,1935-03-24,1937-10-17,"le 24 mars 1935 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",5,"https://fr.wikipedia.org//w/index.php?title=Fran%C3%A7ois_Raynal&action=edit&redlink=1",NA,"24 mars 1935","17 octobre 1937",NA,NA
"Armand Vigneau",1,NA,NA,NA,299,1930-01-01,1935-03-24,1935-03-24,"le 24 mars 1935 contre l'Allemagne","le 24 mars 1935 contre l'Allemagne",3,"https://fr.wikipedia.org//w/index.php?title=Armand_Vigneau&action=edit&redlink=1",NA,"24 mars 1935","24 mars 1935",NA,NA
"Francis Daguerre",1,"1908-10-31","Saint-Pierre-et-Miquelon","Saint-Pierre-et-Miquelon",300,1930-01-01,1936-05-17,1936-05-17,"le 17 mai 1936 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",3,"https://fr.wikipedia.org//wiki/Francis_Daguerre","Naissance	
31 octobre 1908
Saint-Pierre-et-Miquelon","17 mai 1936","17 mai 1936",46.8374544,-56.2120555
"Pierre Geschwind",2,NA,NA,NA,301,1930-01-01,1936-05-17,1936-11-01,"le 17 mai 1936 contre l'Allemagne","le 1er novembre 1936 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Pierre_Geschwind&action=edit&redlink=1",NA,"17 mai 1936","1er novembre 1936",NA,NA
"André Goyard",7,NA,NA,NA,302,1930-01-01,1936-05-17,1938-05-22,"le 17 mai 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",3,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Goyard&action=edit&redlink=1",NA,"17 mai 1936","22 mai 1938",NA,NA
"Etienne Ithurra",3,NA,NA,NA,303,1930-01-01,1936-05-17,1937-04-18,"le 17 mai 1936 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Etienne_Ithurra&action=edit&redlink=1",NA,"17 mai 1936","18 avril 1937",NA,NA
"Georges Libaros",2,"1912-02-29","Viella","Viella",304,1930-01-01,1936-05-17,1940-02-25,"le 17 mai 1936 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",0,"https://fr.wikipedia.org//wiki/Georges_Libaros","Naissance	
29 février 1912
Viella","17 mai 1936","25 février 1940",42.8766878,0.0137833
"André Rochon",1,NA,NA,NA,305,1930-01-01,1936-05-17,1936-05-17,"le 17 mai 1936 contre l'Allemagne","le 17 mai 1936 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Andr%C3%A9_Rochon&action=edit&redlink=1",NA,"17 mai 1936","17 mai 1936",NA,NA
"Pierre Thiers",9,"1914-04-16","Thiers (France)","Thiers",306,1930-01-01,1936-05-17,1945-04-28,"le 17 mai 1936 contre l'Allemagne","le 28 avril 1945 contre l'équipe des forces armées de l'Empire britannique",17,"https://fr.wikipedia.org//wiki/Pierre_Thiers","Naissance	16 avril 1914
à Thiers (France)	","17 mai 1936","28 avril 1945",45.855795,3.5489707
"Félix Bergèze",6,"1914-01-11","Boucau (France)","Boucau",307,1930-01-01,1936-11-01,1938-05-22,"le 1er novembre 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",12,"https://fr.wikipedia.org//wiki/F%C3%A9lix_Berg%C3%A8ze","Naissance	11 janvier 1914
à Boucau (France)	","1er novembre 1936","22 mai 1938",43.5236127,-1.4857538
"Jean Clavé",3,"1915-03-02","Montgaillard","Montgaillard",308,1930-01-01,1936-11-01,1938-05-22,"le 1er novembre 1936 contre l'Allemagne","le 22 mai 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Jean_Clav%C3%A9","Naissance	
2 mars 1915
Montgaillard","1er novembre 1936","22 mai 1938",43.1242256,0.1087538
"Edmond Elissalde",2,"1908-01-30","Biarritz (France)","Biarritz",309,1930-01-01,1936-11-01,1940-02-25,"le 1er novembre 1936 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",0,"https://fr.wikipedia.org//wiki/Edmond_Elissalde","Naissance	30 janvier 1908
à Biarritz (France)	","1er novembre 1936","25 février 1940",43.47114375,-1.55272659066631
"Pierre Milliand",3,NA,NA,NA,310,1930-01-01,1936-11-01,1937-10-17,"le 1er novembre 1936 contre l'Allemagne","le 17 octobre 1937 contre l'Italie",9,"https://fr.wikipedia.org//w/index.php?title=Pierre_Milliand&action=edit&redlink=1",NA,"1er novembre 1936","17 octobre 1937",NA,NA
"Frantz Sahuc",1,"1910-11-10","Marsoulas (France)","Marsoulas",311,1930-01-01,1936-11-01,1936-11-01,"le 1er novembre 1936 contre l'Allemagne","le 1er novembre 1936 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Frantz_Sahuc","Naissance	10 novembre 1910
à Marsoulas (France)	","1er novembre 1936","1er novembre 1936",43.1069196,0.9989134
"David Aguilar",1,"1905-11-25","Pau (France)","Pau",312,1930-01-01,1937-04-18,1937-04-18,"le 18 avril 1937 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/David_Aguilar","Naissance	25 novembre 1905
à Pau (France)	","18 avril 1937","18 avril 1937",43.2957547,-0.3685668
"Pierre Daulouède",4,"1909-07-27","Labenne (France)","Labenne",313,1930-01-01,1937-04-18,1940-02-25,"le 18 avril 1937 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",0,"https://fr.wikipedia.org//wiki/Pierre_Daulou%C3%A8de","Naissance	27 juillet 1909
à Labenne (France)	","18 avril 1937","25 février 1940",43.5977,-1.42811
"Gilbert Lavail",2,NA,NA,NA,314,1930-01-01,1937-04-18,1940-02-25,"le 18 avril 1937 contre l'Allemagne","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",0,"https://fr.wikipedia.org//w/index.php?title=Gilbert_Lavail&action=edit&redlink=1",NA,"18 avril 1937","25 février 1940",NA,NA
"Henri Masse",1,NA,NA,NA,315,1930-01-01,1937-04-18,1937-04-18,"le 18 avril 1937 contre l'Allemagne","le 18 avril 1937 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Masse_(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"18 avril 1937","18 avril 1937",NA,NA
"Michel Bonnus",5,"1915-03-23","Toulon","Toulon",316,1930-01-01,1937-10-17,1940-02-25,"le 17 octobre 1937 contre l'Italie","le 25 février 1940 contre l'équipe de l'Armée de terre britannique",4,"https://fr.wikipedia.org//wiki/Michel_Bonnus_(rugby_%C3%A0_XV)","Naissance	
23 mars 1915
Toulon","17 octobre 1937","25 février 1940",43.1257311,5.9304919
"Antonin Delque",4,NA,NA,NA,317,1930-01-01,1937-10-17,1938-05-22,"le 17 octobre 1937 contre l'Italie","le 22 mai 1938 contre l'Allemagne",6,"https://fr.wikipedia.org//w/index.php?title=Antonin_Delque&action=edit&redlink=1",NA,"17 octobre 1937","22 mai 1938",NA,NA
"Marcel Deygas",1,NA,NA,NA,318,1930-01-01,1937-10-17,1937-10-17,"le 17 octobre 1937 contre l'Italie","le 17 octobre 1937 contre l'Italie",0,"https://fr.wikipedia.org//w/index.php?title=Marcel_Deygas&action=edit&redlink=1",NA,"17 octobre 1937","17 octobre 1937",NA,NA
"Emile Fabre",3,NA,NA,NA,319,1930-01-01,1937-10-17,1938-05-22,"le 17 octobre 1937 contre l'Italie","le 22 mai 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Emile_Fabre(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"17 octobre 1937","22 mai 1938",NA,NA
"Robert Cals",1,"1913-03-19","Pezens","Pezens",320,1930-01-01,1938-03-27,1938-03-27,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//wiki/Robert_Cals","Naissance	
19 mars 1913
Pezens","27 mars 1938","27 mars 1938",43.2548,2.26384
"Jean Chassagne",1,NA,NA,NA,321,1930-01-01,1938-03-27,1938-03-27,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Jean_Chassagne(rugby_%C3%A0_XV)&action=edit&redlink=1",NA,"27 mars 1938","27 mars 1938",NA,NA
"Henri Clarac",1,NA,NA,NA,322,1930-01-01,1938-03-27,1938-03-27,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Henri_Clarac&action=edit&redlink=1",NA,"27 mars 1938","27 mars 1938",NA,NA
"Jean-Baptiste Lefort",1,NA,NA,NA,323,1930-01-01,1938-03-27,1938-03-27,"le 27 mars 1938 contre l'Allemagne","le 27 mars 1938 contre l'Allemagne",0,"https://fr.wikipedia.org//w/index.php?title=Jean-Baptiste_Lefort&action=edit&redlink=1",NA,"27 mars 1938","27 mars 1938",NA,NA
"René Arotca",1,"1914-02-28","Bayonne","Bayonne",324,1930-01-01,1938-05-15,1938-05-15,"le 15 mai 1938 contre la Roumanie","le 15 mai 1938 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Ren%C3%A9_Arotca","Naissance	
28 février 1914
Bayonne","15 mai 1938","15 mai 1938",43.4945144,-1.4736657
"Robert Caunegre",2,"1913-01-30","Bordeaux (France)","Bordeaux",325,1930-01-01,1938-05-15,1938-05-22,"le 15 mai 1938 contre la Roumanie","le 22 mai 1938 contre l'Allemagne",6,"https://fr.wikipedia.org//wiki/Robert_Caunegre","Naissance	30 janvier 1913
à Bordeaux (France)	","15 mai 1938","22 mai 1938",44.841225,-0.5800364
